t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
1084.0,1466385.245818341,3003560.410215467,5458069.339675468,-656.4786864880007,-842.3461818401702,504.60912865493447
1085.0,1465728.538342626,3002717.5109098763,5458571.831682773,-656.9264546590857,-843.432498128619,500.41156968008727
1086.0,1465071.3929090227,3001873.54521921,5459070.162814829,-657.353919779649,-844.4777052390855,496.2890368727967
1087.0,1464413.8305030668,3001028.555499398,5459564.409756519,-657.7597054387443,-845.4792886469513,492.24487831862643
1088.0,1463755.8734981453,3000182.586641916,5460054.652571466,-658.1424116969574,-846.4346910205204,488.2825025897473
1089.0,1463097.5456796729,2999335.686117357,5460540.974761698,-658.5006138372701,-847.3413108042441,484.40537682315335
1090.0,1462438.8722704707,2998487.9040203076,5461023.463325112,-658.832861201372,-848.1965010312852,480.61702414928004
1091.0,1461779.87995727,2997639.2931152945,5461502.208809997,-659.1376761177089,-848.9975683896337,476.9210204165429
1092.0,1461120.5969182353,2996789.9088835283,5461977.305365945,-659.4135529359337,-849.7417725780979,473.3209901647642
1093.0,1460461.0528513982,2995939.8095701383,5462448.8507903265,-659.6589571826626,-850.426325973589,469.82060176180676
1094.0,1459801.27900387,2995089.056231581,5462916.946569469,-659.8723248552997,-851.0483936516102,466.42356165405363
1095.0,1459141.3082016876,2994237.712782835,5463381.697913635,-660.0520618696464,-851.6050937920809,463.1336076599546
1096.0,1458481.1748801307,2993385.846043997,5463843.213784789,-660.1965436867904,-852.093498516595,459.9545012335293
1097.0,1457820.915114314,2992533.525785802,5464301.606916102,-660.3041151344078,-852.5106351953,456.89001864288
1098.0,1457160.5666498619,2991680.8247736064,5464756.9938220745,-660.3730904515833,-852.8534882694948,453.9439409910701
1099.0,1456500.168933411,2990827.818809263,5465209.494798084,-660.4017535835737,-853.1190016390756,451.12004301603884
1100.0,1455839.7631426947,2989974.586770328,5465659.233908107,-660.3883587507298,-853.3040816637222,448.4220806164667
1101.0,1455179.3922159094,2989121.2106459355,5466106.338959317,-660.3311313294107,-853.4056008351035,445.8537770505063
1102.0,1454519.100880036,2988267.775568658,5466550.941462208,-660.2282690712018,-853.4204021655023,443.418807759881
1103.0,1453858.935677767,2987414.3698416045,5466993.1765748365,-660.0779436966404,-853.3453043564223,441.12078378535807
1104.0,1453198.9449926426,2986561.084959945,5467433.183029778,-659.8783029046608,-853.1771077967715,438.96323374658823
1105.0,1452539.1790719577,2985708.015626011,5467871.10304233,-659.6274728323333,-852.9126014530193,436.9495843835175
1106.0,1451879.690046978,2984855.259757039,5468307.082198545,-659.3235610034317,-852.5485706995241,435.0831396575086
1107.0,1451220.5319499508,2984002.918484612,5468741.269321645,-658.9646598087857,-852.0818061414175,433.3670584401116
1108.0,1450561.7607273604,2983151.0961447563,5469173.816315426,-658.5488505611429,-851.5091134889517,431.8043308351189
1109.0,1449903.4342488286,2982299.900257634,5469604.877983315,-658.074208159931,-850.8273245152086,430.39775320282206
1110.0,1449245.6123110405,2981449.441495726,5470034.611821831,-657.5388064087601,-850.0333091402426,429.1499019851908
1111.0,1448588.356636011,2980599.8336393535,5470463.177787285,-656.9407240231521,-849.1239886737894,428.06310644745827
1112.0,1447931.7308629942,2979751.1935183783,5470890.738034726,-656.2780513623729,-848.0963502400555,427.1394205088727
1113.0,1447275.8005332863,2978903.6409388734,5471317.456628303,-655.5488979135407,-846.9474623801652,426.3805938344449
1114.0,1446620.6330671671,2978057.298593618,5471743.499222395,-654.7514005575795,-845.6744918404147,425.7880424163304
1115.0,1445966.2977321711,2977212.2919551926,5472169.032713136,-653.883732627728,-844.2747215183917,425.36281890422106
1116.0,1445312.8656019117,2976368.749150581,5472594.224860203,-652.9441137713147,-842.745569525985,425.1055829753168
1117.0,1444660.4095046285,2975526.8008161406,5473019.243879086,-651.9308206185233,-841.084609309677,425.01657206984237
1118.0,1444009.0039606746,2974686.579931962,5473444.258004343,-650.8421982371947,-839.289590745233,425.09557285532355
1119.0,1443358.7251081541,2973848.22163465,5473869.435024797,-649.6766723471228,-837.3584620971233,425.3418938005343
1120.0,1442709.6506159804,2973011.8630077676,5474294.941791944,-648.4327622511191,-835.289392698789,425.7543392851949
1121.0,1442061.8595836519,2972177.6428492526,5474720.943703367,-647.1090944282478,-833.0807962117251,426.3311856808141
1122.0,1441415.432427124,2971345.701415344,5475147.604163306,-645.7044166986598,-830.7313542454503,427.0701598501764
1123.0,1440770.4507502546,2970516.1801407617,5475575.084023068,-644.2176128699211,-828.2400401351042,427.9684205292724
1124.0,1440126.997201384,2969689.221335074,5476003.541004364,-642.6477177443448,-825.6061426235829,429.02254305267707
1125.0,1439485.1553147659,2968864.9678555145,5476433.129109173,-640.9939323457656,-822.8292891629972,430.22850787546486
1126.0,1438845.0093366925,2968043.562756748,5476863.998020115,-639.2556392056867,-819.9094685425516,431.58169330842793
1127.0,1438206.6440363545,2967225.1489184294,5477296.29249579,-637.4324175297515,-816.8470525224693,433.0768728768453
1128.0,1437570.144501633,2966409.868651703,5477730.151765869,-635.5240580448881,-813.642816116102,434.7082176497206
1129.0,1436935.5959202647,2965597.863286197,5478165.708931089,-633.5305773135042,-810.2979561761022,436.46930384496227
1130.0,1436303.083347006,2964789.272739351,5478603.090373559,-631.4522312873742,-806.814107932616,438.35312593122944
